#Destpos	P7	P5	P7_pos	P5_pos
A01	1017	1051	A05	E13
B01	1018	1052	C05	G13
C01	1019	1053	E05	I13
D01	1020	1054	G05	K13
E01	1021	1055	I05	M13
F01	1022	1056	K05	O13
G01	1023	1049	M05	A13
H01	1024	1050	O05	C13
A02	1329	1363	B12	F20
B02	1330	1364	D12	H20
C02	1331	1365	F12	J20
D02	1332	1366	H12	L20
E02	1333	1367	J12	N20
F02	1334	1368	L12	P20
G02	1335	1361	N12	B20
H02	1336	1362	P12	D20
A03	1137	1171	A12	E20
B03	1138	1172	C12	G20
C03	1139	1173	E12	I20
D03	1140	1174	G12	K20
E03	1141	1175	I12	M20
F03	1142	1176	K12	O20
G03	1143	1169	M12	A20
H03	1144	1170	O12	C20
A04	1321	1355	B10	F18
B04	1322	1356	D10	H18
C04	1323	1357	F10	J18
D04	1324	1358	H10	L18
E04	1325	1359	J10	N18
F04	1326	1360	L10	P18
G04	1327	1353	N10	B18
H04	1328	1354	P10	D18
A05	1081	1115	A21	E06
B05	1082	1116	C21	G06
C05	1083	1117	E21	I06
D05	1084	1118	G21	K06
E05	1085	1119	I21	M06
F05	1086	1120	K21	O06
G05	1087	1113	M21	A06
H05	1088	1114	O21	C06
A06	1177	1211	A22	F05
B06	1178	1212	C22	H05
C06	1179	1213	E22	J05
D06	1180	1214	G22	L05
E06	1181	1215	I22	N05
F06	1182	1216	K22	P05
G06	1183	1209	M22	B05
H06	1184	1210	O22	D05
A07	1089	1123	A23	E08
B07	1090	1124	C23	G08
C07	1091	1125	E23	I08
D07	1092	1126	G23	K08
E07	1093	1127	I23	M08
F07	1094	1128	K23	O08
G07	1095	1121	M23	A08
H07	1096	1122	O23	C08
A08	1273	1307	B21	F06
B08	1274	1308	D21	H06
C08	1275	1309	F21	J06
D08	1276	1310	H21	L06
E08	1277	1311	J21	N06
F08	1278	1312	L21	P06
G08	1279	1305	N21	B06
H08	1280	1306	P21	D06
A09	1201	1235	B03	F11
B09	1202	1236	D03	H11
C09	1203	1237	F03	J11
D09	1204	1238	H03	L11
E09	1205	1239	J03	N11
F09	1206	1240	L03	P11
G09	1207	1233	N03	B11
H09	1208	1234	P03	D11
A10	1305	1339	B06	F14
B10	1306	1340	D06	H14
C10	1307	1341	F06	J14
D10	1308	1342	H06	L14
E10	1309	1343	J06	N14
F10	1310	1344	L06	P14
G10	1311	1337	N06	B14
H10	1312	1338	P06	D14
A11	1057	1091	A15	E23
B11	1058	1092	C15	G23
C11	1059	1093	E15	I23
D11	1060	1094	G15	K23
E11	1061	1095	I15	M23
F11	1062	1096	K15	O23
G11	1063	1089	M15	A23
H11	1064	1090	O15	C23
A12	1233	1267	B11	F19
B12	1234	1268	D11	H19
C12	1235	1269	F11	J19
D12	1236	1270	H11	L19
E12	1237	1271	J11	N19
F12	1238	1272	L11	P19
G12	1239	1265	N11	B19
H12	1240	1266	P11	D19
