#Destpos	P7	P5	P7_pos	P5_pos
A01	1105	1211	A04	F05
B01	1106	1212	C04	H05
C01	1107	1213	E04	J05
D01	1108	1214	G04	L05
E01	1109	1215	I04	N05
F01	1110	1216	K04	P05
G01	1111	1209	M04	B05
H01	1112	1210	O04	D05
A02	1217	1323	B07	F10
B02	1218	1324	D07	H10
C02	1219	1325	F07	J10
D02	1220	1326	H07	L10
E02	1221	1327	J07	N10
F02	1222	1328	L07	P10
G02	1223	1321	N07	B10
H02	1224	1322	P07	D10
A03	1377	1099	B24	E02
B03	1378	1100	D24	G02
C03	1379	1101	F24	I02
D03	1380	1102	H24	K02
E03	1381	1103	J24	M02
F03	1382	1104	L24	O02
G03	1383	1097	N24	A02
H03	1384	1098	P24	C02
A04	1177	1283	A22	F23
B04	1178	1284	C22	H23
C04	1179	1285	E22	J23
D04	1180	1286	G22	L23
E04	1181	1287	I22	N23
F04	1182	1288	K22	P23
G04	1183	1281	M22	B23
H04	1184	1282	O22	D23
A05	1113	1219	A06	F07
B05	1114	1220	C06	H07
C05	1115	1221	E06	J07
D05	1116	1222	G06	L07
E05	1117	1223	I06	N07
F05	1118	1224	K06	P07
G05	1119	1217	M06	B07
H05	1120	1218	O06	D07
A06	1145	1251	A14	F15
B06	1146	1252	C14	H15
C06	1147	1253	E14	J15
D06	1148	1254	G14	L15
E06	1149	1255	I14	N15
F06	1150	1256	K14	P15
G06	1151	1249	M14	B15
H06	1152	1250	O14	D15
A07	1121	1227	A08	F09
B07	1122	1228	C08	H09
C07	1123	1229	E08	J09
D07	1124	1230	G08	L09
E07	1125	1231	I08	N09
F07	1126	1232	K08	P09
G07	1127	1225	M08	B09
H07	1128	1226	O08	D09
A08	1073	1179	A19	E22
B08	1074	1180	C19	G22
C08	1075	1181	E19	I22
D08	1076	1182	G19	K22
E08	1077	1183	I19	M22
F08	1078	1184	K19	O22
G08	1079	1177	M19	A22
H08	1080	1178	O19	C22
A09	1233	1339	B11	F14
B09	1234	1340	D11	H14
C09	1235	1341	F11	J14
D09	1236	1342	H11	L14
E09	1237	1343	J11	N14
F09	1238	1344	L11	P14
G09	1239	1337	N11	B14
H09	1240	1338	P11	D14
A10	1329	1051	B12	E13
B10	1330	1052	D12	G13
C10	1331	1053	F12	I13
D10	1332	1054	H12	K13
E10	1333	1055	J12	M13
F10	1334	1056	L12	O13
G10	1335	1049	N12	A13
H10	1336	1050	P12	C13
A11	1193	1299	B01	F04
B11	1194	1300	D01	H04
C11	1195	1301	F01	J04
D11	1196	1302	H01	L04
E11	1197	1303	J01	N04
F11	1198	1304	L01	P04
G11	1199	1297	N01	B04
H11	1200	1298	P01	D04
A12	1161	1267	A18	F19
B12	1162	1268	C18	H19
C12	1163	1269	E18	J19
D12	1164	1270	G18	L19
E12	1165	1271	I18	N19
F12	1166	1272	K18	P19
G12	1167	1265	M18	B19
H12	1168	1266	O18	D19
