#Destpos	P7	P5	P7_pos	P5_pos
A01	1113	1231	A06	N09
B01	1114	1232	C06	P09
C01	1115	1225	E06	B09
D01	1116	1226	G06	D09
E01	1117	1227	I06	F09
F01	1118	1228	K06	H09
G01	1119	1229	M06	J09
H01	1120	1230	O06	L09
A02	1329	1063	B12	M15
B02	1330	1064	D12	O15
C02	1331	1057	F12	A15
D02	1332	1058	H12	C15
E02	1333	1059	J12	E15
F02	1334	1060	L12	G15
G02	1335	1061	N12	I15
H02	1336	1062	P12	K15
A03	1017	1135	A05	M10
B03	1018	1136	C05	O10
C03	1019	1129	E05	A10
D03	1020	1130	G05	C10
E03	1021	1131	I05	E10
F03	1022	1132	K05	G10
G03	1023	1133	M05	I10
H03	1024	1134	O05	K10
A04	1265	1383	B19	N24
B04	1266	1384	D19	P24
C04	1267	1377	F19	B24
D04	1268	1378	H19	D24
E04	1269	1379	J19	F24
F04	1270	1380	L19	H24
G04	1271	1381	N19	J24
H04	1272	1382	P19	L24
A05	1289	1023	B02	M05
B05	1290	1024	D02	O05
C05	1291	1017	F02	A05
D05	1292	1018	H02	C05
E05	1293	1019	J02	E05
F05	1294	1020	L02	G05
G05	1295	1021	N02	I05
H05	1296	1022	P02	K05
A06	1185	1303	A24	N04
B06	1186	1304	C24	P04
C06	1187	1297	E24	B04
D06	1188	1298	G24	D04
E06	1189	1299	I24	F04
F06	1190	1300	K24	H04
G06	1191	1301	M24	J04
H06	1192	1302	O24	L04
A07	1297	1031	B04	M07
B07	1298	1032	D04	O07
C07	1299	1025	F04	A07
D07	1300	1026	H04	C07
E07	1301	1027	J04	E07
F07	1302	1028	L04	G07
G07	1303	1029	N04	I07
H07	1304	1030	P04	K07
A08	1369	1103	B22	M02
B08	1370	1104	D22	O02
C08	1371	1097	F22	A02
D08	1372	1098	H22	C02
E08	1373	1099	J22	E02
F08	1374	1100	L22	G02
G08	1375	1101	N22	I02
H08	1376	1102	P22	K02
A09	1049	1167	A13	M18
B09	1050	1168	C13	O18
C09	1051	1161	E13	A18
D09	1052	1162	G13	C18
E09	1053	1163	I13	E18
F09	1054	1164	K13	G18
G09	1055	1165	M13	I18
H09	1056	1166	O13	K18
A10	1177	1295	A22	N02
B10	1178	1296	C22	P02
C10	1179	1289	E22	B02
D10	1180	1290	G22	D02
E10	1181	1291	I22	F02
F10	1182	1292	K22	H02
G10	1183	1293	M22	J02
H10	1184	1294	O22	L02
A11	1041	1159	A11	M16
B11	1042	1160	C11	O16
C11	1043	1153	E11	A16
D11	1044	1154	G11	C16
E11	1045	1155	I11	E16
F11	1046	1156	K11	G16
G11	1047	1157	M11	I16
H11	1048	1158	O11	K16
A12	1225	1343	B09	N14
B12	1226	1344	D09	P14
C12	1227	1337	F09	B14
D12	1228	1338	H09	D14
E12	1229	1339	J09	F14
F12	1230	1340	L09	H14
G12	1231	1341	N09	J14
H12	1232	1342	P09	L14
