#Destpos	P7	P5	P7_pos	P5_pos
A01	1177	1319	A22	N08
B01	1178	1320	C22	P08
C01	1179	1313	E22	B08
D01	1180	1314	G22	D08
E01	1181	1315	I22	F08
F01	1182	1316	K22	H08
G01	1183	1317	M22	J08
H01	1184	1318	O22	L08
A02	1337	1095	B14	M23
B02	1338	1096	D14	O23
C02	1339	1089	F14	A23
D02	1340	1090	H14	C23
E02	1341	1091	J14	E23
F02	1342	1092	L14	G23
G02	1343	1093	N14	I23
H02	1344	1094	P14	K23
A03	1361	1119	B20	M06
B03	1362	1120	D20	O06
C03	1363	1113	F20	A06
D03	1364	1114	H20	C06
E03	1365	1115	J20	E06
F03	1366	1116	L20	G06
G03	1367	1117	N20	I06
H03	1368	1118	P20	K06
A04	1097	1239	A02	N11
B04	1098	1240	C02	P11
C04	1099	1233	E02	B11
D04	1100	1234	G02	D11
E04	1101	1235	I02	F11
F04	1102	1236	K02	H11
G04	1103	1237	M02	J11
H04	1104	1238	O02	L11
A05	1241	1383	B13	N24
B05	1242	1384	D13	P24
C05	1243	1377	F13	B24
D05	1244	1378	H13	D24
E05	1245	1379	J13	F24
F05	1246	1380	L13	H24
G05	1247	1381	N13	J24
H05	1248	1382	P13	L24
A06	1153	1295	A16	N02
B06	1154	1296	C16	P02
C06	1155	1289	E16	B02
D06	1156	1290	G16	D02
E06	1157	1291	I16	F02
F06	1158	1292	K16	H02
G06	1159	1293	M16	J02
H06	1160	1294	O16	L02
A07	1353	1111	B18	M04
B07	1354	1112	D18	O04
C07	1355	1105	F18	A04
D07	1356	1106	H18	C04
E07	1357	1107	J18	E04
F07	1358	1108	L18	G04
G07	1359	1109	N18	I04
H07	1360	1110	P18	K04
A08	1345	1103	B16	M02
B08	1346	1104	D16	O02
C08	1347	1097	F16	A02
D08	1348	1098	H16	C02
E08	1349	1099	J16	E02
F08	1350	1100	L16	G02
G08	1351	1101	N16	I02
H08	1352	1102	P16	K02
A09	1001	1143	A01	M12
B09	1002	1144	C01	O12
C09	1003	1137	E01	A12
D09	1004	1138	G01	C12
E09	1005	1139	I01	E12
F09	1006	1140	K01	G12
G09	1007	1141	M01	I12
H09	1008	1142	O01	K12
A10	1033	1175	A09	M20
B10	1034	1176	C09	O20
C10	1035	1169	E09	A20
D10	1036	1170	G09	C20
E10	1037	1171	I09	E20
F10	1038	1172	K09	G20
G10	1039	1173	M09	I20
H10	1040	1174	O09	K20
A11	1305	1063	B06	M15
B11	1306	1064	D06	O15
C11	1307	1057	F06	A15
D11	1308	1058	H06	C15
E11	1309	1059	J06	E15
F11	1310	1060	L06	G15
G11	1311	1061	N06	I15
H11	1312	1062	P06	K15
A12	1233	1375	B11	N22
B12	1234	1376	D11	P22
C12	1235	1369	F11	B22
D12	1236	1370	H11	D22
E12	1237	1371	J11	F22
F12	1238	1372	L11	H22
G12	1239	1373	N11	J22
H12	1240	1374	P11	L22
